ID	Gene Symbol
merck2-AA977539_at	PDK2
merck2-AA983661_at	RUNX2
merck2-AA983919_at	
merck2-AA987277_at	
merck2-AA988555_a_at	ATP1B3
merck2-AA991401_at	
merck2-AA992031_at	
merck2-AA992761_at	
merck2-AA992761_x_at	
merck2-AA994467_at	
merck2-AA996191_at	
merck2-AA999787_at	
merck2-AAC24853_at	TMEM35
merck2-AAC24853_x_at	TMEM35
merck2-AAH30461_at	RAP1GDS1
merck2-AAI91885_at	MOBP
merck2-AAV19137_at	MC2R
merck2-AB001328_at	
merck2-AB001915_at	DDAH1
merck2-AB002134_at	TMPRSS11D
merck2-AB002303_at	ZFYVE16
merck2-AB002310_at	HUWE1
merck2-AB002370_at	TTC37
merck2-AB002803_at	BACH1
merck2-AB003063_at	DPYD
merck2-AB004574_at	DNASE2
merck2-AB004662_at	ADORA1
merck2-AB006572_at	C19orf2
merck2-AB006626_at	HDAC4
merck2-AB006651_at	MED14
merck2-AB007872_at	ZNF264
merck2-AB007932_at	PLXNA2
merck2-AB008430_at	FARP1
merck2-AB011084_at	ARMCX2
merck2-AB011111_at	URB1
merck2-AB011175_at	TBC1D4
merck2-AB011182_at	SPG20
merck2-AB011420_a_at	STK17A
merck2-AB012575_a_at	SS18
merck2-AB012958_at	UVRAG
merck2-AB014516_at	CRTC1
merck2-AB014543_at	CLUAP1
merck2-AB014565_at	RAB11FIP3
merck2-AB014584_a_at	UBE4B
merck2-AB014603_at	ATP2C2
merck2-AB015982_at	PRKD3
merck2-AB016068_at	ZMPSTE24
merck2-AB016840_at	CRNKL1
merck2-AB016901_at	C6orf123
merck2-AB017016_at	TPPP
merck2-AB017116_x_at	
merck2-AB017505_at	TP53RK
merck2-AB018256_at	SNX13
merck2-AB018267_at	IPO13
merck2-AB018284_at	EIF5B
merck2-AB018332_at	WSCD2
merck2-AB019410_at	PET112
merck2-AB019567_at	
merck2-AB019567_x_at	
merck2-AB019573_at	HOPX
merck2-AB020636_at	CAND1
merck2-AB021638_a_at	APBA3
merck2-AB021654_s_at	
merck2-AB021660_at	CA5B
merck2-AB022192_at	PEX13
merck2-AB022434_at	SEMA6C
merck2-AB022718_at	C10orf10
merck2-AB022918_at	ST3GAL6
merck2-AB023136_at	EXOC6B
merck2-AB023213_at	DZIP1
merck2-AB024568_a_at	HS2ST1
merck2-AB026256_at	SLCO2B1
merck2-AB026722_s_at	PPA2
merck2-AB027133_at	GOLGA3
merck2-AB027249_at	PBK
merck2-AB028019_at	LATS2
merck2-AB028069_at	DBF4
merck2-AB028069_s_at	DBF4
merck2-AB028127_at	PIGM
merck2-AB028960_at	WDTC1
merck2-AB028973_s_at	PCMTD2
merck2-AB028993_at	NLGN1
merck2-AB028995_at	PPM1E
merck2-AB029022_at	AGAP1
merck2-AB029028_at	FAM208A
merck2-AB029290_at	MACF1
merck2-AB030181_at	
merck2-AB030654_at	AP4S1
merck2-AB030656_at	CORO1C
merck2-AB030834_at	TCEB3B
merck2-AB033007_a_at	ERGIC1
merck2-AB033049_at	ANKRD50
merck2-AB033115_at	BIRC6
merck2-AB033129_at	THEG
merck2-AB036432_at	AGER
merck2-AB037811_at	FAM63A
merck2-AB037832_at	FAM135A
merck2-AB037833_at	TMEM2
merck2-AB037850_at	KIAA1429
merck2-AB038041_at	PDE11A
merck2-AB040151_a_at	ABI1
merck2-AB040451_at	BCCIP
merck2-AB040882_at	WDR48
merck2-AB040910_at	MARK1
merck2-AB040931_at	EP400
merck2-AB040934_a_at	ARHGAP23
merck2-AB040934_at	ARHGAP23
merck2-AB040965_at	SPPL2B
merck2-AB040967_at	OSBPL5
merck2-AB042636_at	JPH3
merck2-AB045732_at	TOPORS
merck2-AB046767_at	TLE3
merck2-AB046790_at	CASC5
merck2-AB046820_at	FAM160B1
merck2-AB047847_at	COPG2
merck2-AB049952_at	MRPS18A
merck2-AB049957_at	MRP63
merck2-AB050785_at	ARHGAP10
merck2-AB051508_at	XPO4
merck2-AB051826_at	RHOU
merck2-AB052103_at	COLEC12
merck2-AB053232_at	GAL3ST3
merck2-AB053301_at	TMEM237
merck2-AB054985_at	CACNB1
merck2-AB055390_at	ABCA7
merck2-AB055660_at	SHROOM3
merck2-AB056657_at	NPHP3
merck2-AB056657_x_at	NPHP3
merck2-AB058686_at	
merck2-AB058731_at	GPR123
merck2-AB060691_at	B3GALNT1
merck2-AB060692_at	ARL4D
merck2-AB061546_s_at	SRP14
merck2-AB062361_x_at	ZCRB1
merck2-AB062429_at	ANXA7
merck2-AB063773_at	
merck2-AB063773_x_at	
merck2-AB064041_at	
merck2-AB064041_x_at	
merck2-AB064212_at	
merck2-AB064212_x_at	
merck2-AB064268_a_at	TNFSF11
merck2-AB064666_at	SLC25A3
merck2-AB065001_at	PKNOX2
merck2-AB065434_at	TP53RK
merck2-AB066915_at	
merck2-AB067515_at	
merck2-AB071393_a_at	TTL
merck2-AB073353_at	
merck2-AB073602_at	
merck2-AB073897_at	ANKFY1
merck2-AB075482_at	
merck2-AB075840_at	SHROOM1
merck2-AB075851_at	WHAMM
merck2-AB076839_at	EIF4B
merck2-AB078432_at	GCNT2
merck2-AB080586_at	BRWD1
merck2-AB085790_a_at	BSG
merck2-AB095927_a_at	FAM208B
merck2-AB096243_at	FDX1
merck2-AB097011_at	TIFA
merck2-AB097013_at	ZDHHC17
merck2-AB097017_at	TMEM9B
merck2-AB100261_a_at	CHMP4B
merck2-AB103104_a_at	PEX26
merck2-AB112777_at	CMKLR1
merck2-AB115498_at	TRPM1
